time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,λ,strategies,u,seed
2500,1.0048538654817192,0.4840926236908307,0.2903324480942016,0.6881576656622727,0.9045962568722996,0.8291670251224903,0.9553487760571274,0.7963714840930314,0.6955998718829106,0.88579977678023,0.7821613361762618,0.21783866382373865,0.16191612197308225,0.13920594103692788,0.11226758352686977,0.18335563508922645,0.07265745762803673,0.34013632164366164,0.16782582337036847,0.143769464000347,0.11596629557454155,0.19229878689684043,0.20337067652072705,0.1716867408186457,0.1405032028877974,0.24852716001922537,0.4563002339094444,0.4563238109514517,0.44762978396896,0.4653237790903293,0.02560606135766215,0.4435317011662124,8427.351241458577,5935.844395965661,13117.400165245941,0.05,0.05,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,UB&PB,0.55,45069
2500,0.991712747084734,0.5187764670477347,0.33951496331948056,0.701793370009117,0.8822425292711592,0.7992154667722144,0.9456296742506062,0.5754377296730677,0.46722065003941876,0.6960742977131854,0.8171698649609098,0.18283013503909024,0.11215502430061924,0.0979862814961687,0.06179319021759964,0.1491522289175464,0.029515770022954343,0.2426750269474514,0.1186212027621197,0.10573832429873539,0.06461054770369418,0.15914739414639908,0.14255850215631294,0.13059962671367148,0.09612468473697734,0.17718693021574963,0.42401467902848816,0.4233091650792235,0.41453128582893206,0.43267444213156137,0.0435832506420569,1.0226032412012915,8810.86895758408,6888.456802151708,11993.510787767604,0.1,0.05,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,UB&PB,0.55,45069
2500,1.0198057139807135,0.6222430281601137,0.42929573783834557,0.7805444683367355,0.8982226138882585,0.8261349657196899,0.9524103204737746,0.5630166108561455,0.42175425161065505,0.7114111176516744,0.8728514570007111,0.12714854299928935,0.11615843035109187,0.10370535459296469,0.06923290902138474,0.14955905489387433,0.04059411476967602,0.2348136293223298,0.12184788366369084,0.11060844424034165,0.07190717317448975,0.1580771262112323,0.13888302084247334,0.12884294920103756,0.09594492430407936,0.17013744431588376,0.42075796435791407,0.42050840651392996,0.41320513342279563,0.4281095042239192,0.01897230099415302,1.1811758468866624,20935.566656039107,16970.474418771137,27141.49275071309,0.15,0.05,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,UB&PB,0.55,45069
2500,1.0630809577303497,0.6919128652244664,0.5563111851238256,0.8338449595452131,0.8840642062035355,0.7923496844946785,0.9497550142918388,0.631603983784625,0.5064751756609469,0.7465284173133864,0.8103681592039796,0.1896318407960203,0.17494339507884588,0.1604432028753691,0.11194475530222338,0.2186138019473776,0.08094483621628526,0.32685441004821925,0.17827836043177733,0.16477542267743012,0.11372926179186833,0.22334459677738758,0.20634630385919203,0.19552384308875417,0.1521512998166368,0.24720545895792068,0.4600395659016304,0.4594668770593812,0.4549837300835775,0.4641954653282189,0.030857782820235383,0.7915055355722127,24789.84874715455,18656.9250781611,34660.708257792256,0.2,0.05,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,UB&PB,0.55,45069
2500,1.0765918485654977,0.6235589940235046,0.461609269146742,0.7536577499282762,0.8627070141046811,0.7690224979716168,0.931409835883117,0.5891712725845807,0.41842695968242277,0.7500595867839027,0.8245636105188345,0.1754363894811654,0.18732760089621864,0.18081176080357472,0.12579687885094795,0.23392117294262962,0.08733062241490835,0.32235232625606675,0.1934989896652293,0.18857403718136612,0.13131280877246787,0.24133586947006036,0.21860565943143312,0.21266221221301126,0.17131736721000576,0.2572705762134744,0.43910947024489433,0.4387830383017391,0.4325160003811462,0.4453728853778046,0.001414067989192905,0.8089286544155481,14551.416674733406,11470.8154692181,19373.228164743596,0.25,0.05,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.05,UB&PB,0.55,45069
