time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,strategies,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,UB&PB,71554
2500,0.9326489609223118,0.36729379918325333,0.24176985974165788,0.5766999442355555,0.8489403873223336,0.7379328873589629,0.9338717028845753,0.8861478444373695,0.7992599809486796,0.9502116173770678,0.9607924662402271,0.03920753375977248,0.0780774317739718,0.027919397993173205,0.006748124927628448,0.10191951069896303,0.0006131800290138826,0.32782665568464214,0.09024955469842598,0.03988657314577855,0.010506024731442555,0.12531636754162906,0.12357971576126621,0.09047202902724596,0.044211871938051726,0.16439905740101876,0.4177420576573214,0.41722361052292617,0.40608520002536563,0.4288564148985363,0.01429872984468765,0.5144726172507753,5121.471471018114,3482.715750083605,7754.670747098694,0.1,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,UB&PB,71554
2500,0.9464661533546499,0.34819656027397355,0.2067791272818342,0.5014709465773151,0.3628823183183466,0.26896412311730744,0.4680598830439318,0.8796328808152527,0.8098788149271742,0.9365860674684884,0.955544420753377,0.04445557924662416,0.13361429397115906,0.08972061015815745,0.036002795584455356,0.1989426194806424,0.008051727589665488,0.39080082332087457,0.16497221828501704,0.13126644829509665,0.05832715807698741,0.24494493102707188,0.20104264375006228,0.1772386097124378,0.1190212176741438,0.26439316044719346,0.41851539148122296,0.4179068745008278,0.40262016564553693,0.43379626352072104,0.07523750329593248,2.275507677956885,2342.0004995387294,1554.1704721638857,3744.4160466875614,0.15,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,UB&PB,71554
2500,0.9613980153112816,0.5218066843610671,0.355902361792162,0.6642893564705211,0.48426461355572914,0.37248233581897017,0.6168699801540759,0.8576999377553455,0.7529869456577692,0.9279125905364562,0.9575230987917557,0.04247690120824447,0.12542755561947977,0.0771441348874342,0.030484660022108562,0.1836464147849634,0.007626128320686496,0.3928326314252904,0.14375301033138435,0.10047324677778703,0.04497132298762838,0.20998546779942398,0.19182748749924977,0.16545715440843126,0.10290091109501175,0.2595181627980729,0.42650932999449215,0.4260503314346776,0.41685319112220753,0.43564293368802454,0.28544940911552025,0.6662775691512935,8585.189081747918,5127.966070492167,14776.080538168406,0.2,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,UB&PB,71554
2500,0.9677892745011898,0.3771585251679843,0.24108101537164897,0.5459949657115732,0.1889763273442201,0.12450150698443158,0.2632592597107865,0.8881288258119923,0.8021934557282172,0.9497665395239054,0.9487334754797455,0.05126652452025589,0.17966195020565298,0.1482611508617241,0.06474837957824414,0.2720297821480971,0.016021794474329644,0.43471757037526393,0.21463027017969857,0.19676632497717214,0.09801121864375746,0.3171465798861193,0.26220539618238076,0.25009350591957963,0.16925896899319265,0.3510661951892595,0.4136144130583634,0.4130081564809411,0.40188280993572995,0.42461708096054135,0.21847736779764354,0.9594675738872768,1584.7990265310918,1042.704182607531,2694.6879190746877,0.25,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,UB&PB,71554
2500,0.9573545071672592,0.7986919567521747,0.6439796598943484,0.9015184157389764,0.16368905738961903,0.08876964533443457,0.27320385228466776,0.7810684196758881,0.6739278519227432,0.881305334670203,0.9373319118692259,0.0626680881307748,0.150330161050861,0.09326828280317495,0.02733602587527248,0.24268030016303918,0.0051323790793677436,0.4457331508109683,0.15698976857103994,0.10387061656062396,0.031885032157935644,0.2525306496758697,0.2522236356808207,0.23590966674357644,0.12605327764843705,0.37837167126472876,0.40537632334524226,0.4050141435322206,0.4004177043699734,0.4097716333462711,0.46913184969106747,1.0748691955650531,22942.91747044883,9545.724693751583,58802.900383294014,0.3,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,UB&PB,71554
2500,0.9720927029492562,0.7931408545390528,0.6560219919567505,0.8846427636907116,0.10034575282997475,0.05187631107377571,0.16757366574998142,0.8550583087389008,0.7634670733706681,0.932558669821126,0.9250206112295657,0.0749793887704335,0.17141389376355576,0.12444757929409661,0.03871118973525308,0.2781264249313658,0.006450265671432051,0.459927372521128,0.17972531710811288,0.1375783966122,0.04568749145051657,0.29157824762119144,0.28311509023150605,0.2837933289127303,0.15473331443520955,0.41248513635390494,0.41403894543484665,0.4137698411658263,0.40926398808106534,0.4184250629392096,0.15866582429542195,0.44623046406288314,14102.497180636523,5469.673833970859,41198.21966497809,0.35,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,UB&PB,71554
2500,0.9879839860479555,0.7870606818177921,0.6747509438818597,0.8822925994217707,0.0932482411059849,0.045947125991300464,0.15820976967033618,0.8174284904261342,0.7054705569333088,0.9151486993614802,0.9175323383084573,0.08246766169154214,0.19176623864450176,0.1524964201711126,0.04977596739882459,0.31533517618189416,0.010315058403449772,0.47642434198917183,0.2003649955521611,0.1658742753619902,0.05775488995805629,0.32819819638205494,0.30604030820850375,0.31559681763408015,0.18140739009571366,0.4315130441499046,0.4261998597657031,0.42593149825420273,0.4216477798483107,0.4303526866579662,0.052035151735792574,0.3906177141021153,11484.655356889894,4403.2011701525535,35797.49511852843,0.4,UB&PB,71554
