time,opt_s,opt_payoff,s_median,s_lerror,s_herror,Vbar,T,aleph,init_sens,n,init_soc_v,λ,strategies,mu_soc_v,t,seed
5,0.0,0.0,0.043747670012996495,0.043747670012996495,0.16183561633664678,0.8731318568894731,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.042469938276450604,0.042469938276450604,0.16319882726032722,0.8756744215670776,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.048219033374778106,0.048219033374778106,0.15945361517830559,0.8717037151337758,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.04586567835967017,0.04586567835967017,0.16192265245805917,0.8762168896152872,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.04571244455534644,0.04571244455534644,0.15765946106610335,0.8758747727231373,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.049635084728023054,0.049635084728023054,0.15827932234713543,0.8727145399528589,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.05720602459699646,0.05720602459699646,0.15286274376804215,0.887307699772519,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.05604638840920177,0.05604638840920177,0.1535095238920639,0.8830706651602585,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.055577181197927844,0.055577181197927844,0.15470451177596392,0.8835185507415596,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.05466212092703956,0.05466212092703956,0.15452935276479296,0.8839808330825789,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.061025270993178546,0.061025270993178546,0.14580853803850446,0.8917027396317467,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.05614736051734332,0.05614736051734332,0.1523761451542974,0.8859359697421149,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.05403302617778713,0.05403302617778713,0.1555541189300855,0.8787207280813465,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.05312596041578161,0.05312596041578161,0.15578888691861847,0.8802809930469929,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.054921686371915315,0.054921686371915315,0.15330386713497907,0.8846554709319558,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.05687074081697337,0.05687074081697337,0.15179018824284346,0.8879213349653898,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.053846728449443326,0.053846728449443326,0.1558987950049909,0.8829361278992687,1000,0.7,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.06680736036538146,0.06680736036538146,0.14501285768041755,0.8972413631749215,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.06365236508739903,0.06365236508739903,0.14760047191075737,0.8975768449877634,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.06546867044518803,0.06546867044518803,0.1447449721813574,0.8948761735610953,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
