time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,μ,strategies,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,UB&PB,45069
2500,1.1341122696632429,0.16820769495574925,0.09151679099479071,0.26465248854799006,0.23700115105403505,0.12835079056147738,0.3672443527838429,0.45535321754850383,0.37484880393235465,0.5395899043324506,0.8787448471926088,0.12125515280739167,0.5590710261395416,0.5850392293197103,0.5122927419747884,0.6347996051127779,0.3378220946827145,0.6882298907082429,0.6073673657324701,0.6269895926856629,0.572197334351338,0.6676255962447892,0.5998893927343598,0.6012702118863282,0.5767719123784792,0.6247458756192714,0.6046778484982678,0.6090488183518885,0.5760760035238268,0.637695684357602,0.558438089642175,0.9217760193220074,891.8295643880444,730.6656143606268,1064.02824255703,0.55,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,UB&PB,45069
2500,1.1555591299840513,0.22407413463824552,0.1282196283027128,0.357833273466843,0.19400396648342513,0.12653991659130207,0.27244931666974953,0.42212119868503933,0.338831017939059,0.5156980401183858,0.8409594882729219,0.15904051172707917,0.5722680162863517,0.5982903908032957,0.5305438608632156,0.6444866521994461,0.360260162341382,0.6912117907820815,0.616385893930894,0.6363564024156093,0.584431988707494,0.6741886444810211,0.6092200644945411,0.6091232116645684,0.5910809022313412,0.6284152730919169,0.6044532660623527,0.6064514196136592,0.5855039836287705,0.6270103564161382,0.5776516021543371,0.9422458753486889,848.7935545689762,729.0737791465908,997.3048667340884,0.6,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,UB&PB,45069
2500,1.2033082742212278,0.4892537770464333,0.3584938870902867,0.6292236403453666,0.6033160741446247,0.4730191575931552,0.7289329216782616,0.11701800671044275,0.057134023900557045,0.19201152304610872,0.8096915422885593,0.19030845771144278,0.5731300446272946,0.5870191467290833,0.5538761240437227,0.6076396212189729,0.4689170152546262,0.6331676245226081,0.5857097327362762,0.5975606180080992,0.5670442308740968,0.6180674238219941,0.5921019899664299,0.5932930040079334,0.579475691489171,0.6059850343329529,0.6043434593662511,0.6046478852662908,0.5968740599348178,0.6128843294081405,0.5590258273465838,0.9455621283930024,4476.7166165406,3369.253906623409,5986.43271470881,0.65,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,UB&PB,45069
2500,1.219128930108974,0.6228279447256669,0.4249648354805849,0.7603090363491113,0.23863146369157187,0.1362226123319277,0.41026040297647065,0.1489290374260835,0.07772834510487288,0.23611807455773146,0.6805103056147822,0.31948969438521696,0.5806416117457801,0.595974569667663,0.5577626037637013,0.6160974928213266,0.4641417275480743,0.6552770288836169,0.5943358766644514,0.6055009378244666,0.5707155928017317,0.6292072916498785,0.5980571846521106,0.6004112570540019,0.58709674338895,0.6099193841364992,0.60450873768704,0.604596778553194,0.5990477713610138,0.6105741272281289,0.5805768025454747,0.9678090985385421,3134.1203119185493,1736.300065703726,6209.646443251625,0.7,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,UB&PB,45069
2500,1.2433223852742774,0.617201797082029,0.41367441572900854,0.7788884633187285,0.4986805164369409,0.3483999086534507,0.6794495089237265,0.133302808161867,0.06690896647581032,0.2153558608756015,0.6674577114427865,0.33254228855721385,0.5839320032903312,0.5967452476734937,0.5670853009975879,0.6127663738529833,0.4884004180509408,0.6432635037064769,0.5930877940042898,0.6037650602565767,0.5762458403365905,0.6209881987157966,0.5988557321865123,0.5994025477871402,0.5872936872083516,0.6101634155000554,0.6047378763111334,0.6049162530811804,0.5993035091285972,0.6109154497779952,0.5975812008022054,0.9854561985206342,4504.28144673256,2973.0971348048192,7034.559093921038,0.75,0.0,UB&PB,45069
