time,opt_s,opt_payoff,s_median,s_lerror,s_herror,Vbar,T,aleph,init_sens,n,λ,t,seed
0,0.0,0.0,0.26118399999999997,0.26118399999999997,0.30285107200000017,0.46305920069903705,1000,0.65,0.13,5,1.5,2,1
0,0.0,0.0,0.2662716920710748,0.24602041737312183,0.29780594402355653,0.5071154926569719,1000,0.8,0.13,5,1.5,2,1
0,0.0,0.0,0.27335303756103657,0.2257680862077477,0.2909905648838147,0.5756935849457209,1000,0.95,0.13,5,1.5,2,1
0,0.0,0.0,0.256,0.256,0.30890700800000037,0.47102892383300166,1000,0.65,0.135,5,1.5,2,1
0,0.0,0.0,0.25918335286870675,0.250811957327795,0.30515413049769324,0.5112852781720515,1000,0.8,0.135,5,1.5,2,1
0,0.0,0.0,0.2674690357351055,0.2274690357351055,0.29253096426489444,0.586178779921906,1000,0.95,0.135,5,1.5,2,1
0,0.0,0.0,0.256,0.256,0.30762004480000016,0.4704299913374149,1000,0.65,0.14,5,1.5,2,1
0,0.0,0.0,0.25664124671479954,0.25664124671479954,0.3033587532852005,0.5166572998881348,1000,0.8,0.14,5,1.5,2,1
0,0.0,0.0,0.26472630821494914,0.23534919103666438,0.2952736917850508,0.5922768426708893,1000,0.95,0.14,5,1.5,2,1
0,0.0,0.0,0.24963403517855806,0.24963403517855806,0.31036596482144185,0.48403738405274854,1000,0.65,0.145,5,1.5,2,1
0,0.0,0.0,0.2514452307614741,0.2514452307614741,0.3085547692385258,0.52920148656007,1000,0.8,0.145,5,1.5,2,1
0,0.0,0.0,0.2624532473791008,0.2375708448362721,0.29754675262089914,0.5916830635778149,1000,0.95,0.145,5,1.5,2,1
0,0.0,0.0,0.24204525134189067,0.24204525134189067,0.31795474865810924,0.4861185777013209,1000,0.65,0.15,5,1.5,2,1
0,0.0,0.0,0.2466161695743041,0.2466161695743041,0.31338383042569584,0.5318006707218517,1000,0.8,0.15,5,1.5,2,1
0,0.0,0.0,0.25632878048137847,0.24673549933047942,0.3028831593586216,0.6016332773538988,1000,0.95,0.15,5,1.5,2,1
0,0.0,0.0,0.24,0.24,0.31442214594413465,0.49333506283226947,1000,0.65,0.155,5,1.5,2,1
0,0.0,0.0,0.24246912125645853,0.24246912125645853,0.3175308787435414,0.5381992174465497,1000,0.8,0.155,5,1.5,2,1
0,0.0,0.0,0.25528074905731024,0.25528074905731024,0.3047192509426897,0.6074974160248562,1000,0.95,0.155,5,1.5,2,1
0,0.0,0.0,0.23591970512190968,0.23591970512190968,0.3213894039784276,0.5013508842964488,1000,0.65,0.16,5,1.5,2,1
0,0.0,0.0,0.2431189935549537,0.2431189935549537,0.31688100644504624,0.5454883285114561,1000,0.8,0.16,5,1.5,2,1
0,0.0,0.0,0.2501682129361119,0.2501682129361119,0.30983178706388803,0.6061659962985473,1000,0.95,0.16,5,1.5,2,1
0,0.0,0.0,0.2319925590018103,0.2319925590018103,0.31945907141819174,0.5066396289519136,1000,0.65,0.165,5,1.5,2,1
0,0.0,0.0,0.235616,0.235616,0.32438399999999995,0.547666772462938,1000,0.8,0.165,5,1.5,2,1
0,0.0,0.0,0.24764033016299786,0.24764033016299786,0.30864736263700215,0.6139958776435023,1000,0.95,0.165,5,1.5,2,1
0,0.0,0.0,0.22400000000000003,0.22400000000000003,0.3271363509204221,0.512265279276055,1000,0.65,0.17,5,1.5,2,1
0,0.0,0.0,0.2364893673568469,0.2364893673568469,0.32351063264315305,0.5540750191206835,1000,0.8,0.17,5,1.5,2,1
0,0.0,0.0,0.2432727976767312,0.2432727976767312,0.3110911457185203,0.6185036204648049,1000,0.95,0.17,5,1.5,2,1
0,0.0,0.0,0.22388737082701554,0.22388737082701554,0.3276264851729846,0.5189377609149278,1000,0.65,0.175,5,1.5,2,1
0,0.0,0.0,0.2281329230941246,0.2281329230941246,0.32879584490587543,0.5576584852378202,1000,0.8,0.175,5,1.5,2,1
0,0.0,0.0,0.24,0.24,0.31206400000000023,0.6218618355999055,1000,0.95,0.175,5,1.5,2,1
0,0.0,0.0,0.21775958550314467,0.21775958550314467,0.33236040539481126,0.5291055579994401,1000,0.65,0.18,5,1.5,2,1
0,0.0,0.0,0.2219060452968934,0.2219060452968934,0.3307339547031066,0.5628911287868703,1000,0.8,0.18,5,1.5,2,1
0,0.0,0.0,0.23778342335857186,0.23778342335857186,0.31163430464142816,0.6268212262379478,1000,0.95,0.18,5,1.5,2,1
0,0.0,0.0,0.21475505045824317,0.21475505045824317,0.33724494954175677,0.52524706267181,1000,0.65,0.185,5,1.5,2,1
0,0.0,0.0,0.22100499494205775,0.22100499494205775,0.33306602534066754,0.5708311411062347,1000,0.8,0.185,5,1.5,2,1
0,0.0,0.0,0.23468967442986843,0.23468967442986843,0.31854458597542334,0.6241894947587096,1000,0.95,0.185,5,1.5,2,1
0,0.0,0.0,0.20788102198518865,0.20788102198518865,0.3348863380148116,0.5343286973592811,1000,0.65,0.19,5,1.5,2,1
0,0.0,0.0,0.21370240212592861,0.21370240212592861,0.3383197767142151,0.5767538112114464,1000,0.8,0.19,5,1.5,2,1
0,0.0,0.0,0.22637341142457887,0.22637341142457887,0.3150882014573064,0.6329177770489214,1000,0.95,0.19,5,1.5,2,1
0,0.0,0.0,0.20807863073686944,0.20807863073686944,0.33440067391295886,0.5426155284202063,1000,0.65,0.195,5,1.5,2,1
0,0.0,0.0,0.21025591103268387,0.21025591103268387,0.33374408896731617,0.5776426970911708,1000,0.8,0.195,5,1.5,2,1
0,0.0,0.0,0.22361141279447244,0.22361141279447244,0.3242401072055277,0.6363519778733698,1000,0.95,0.195,5,1.5,2,1
0,0.0,0.0,0.2,0.2,0.34297458203456815,0.5426730114951568,1000,0.65,0.2,5,1.5,2,1
0,0.0,0.0,0.20754791456060992,0.20754791456060992,0.3394088854393902,0.577918817761872,1000,0.8,0.2,5,1.5,2,1
0,0.0,0.0,0.22048559649086535,0.22048559649086535,0.3155144035091347,0.6438338677997554,1000,0.95,0.2,5,1.5,2,1
0,0.0,0.0,0.2,0.2,0.340846480950235,0.5522147967727615,1000,0.65,0.205,5,1.5,2,1
0,0.0,0.0,0.20274253546718018,0.20274253546718018,0.34479076765467737,0.5840450790254005,1000,0.8,0.205,5,1.5,2,1
0,0.0,0.0,0.2186649844279493,0.2186649844279493,0.324061957352117,0.6447797145467006,1000,0.95,0.205,5,1.5,2,1
